Incidence per 1000 by age and sex			
	Ghana		
 	Total	Male	Female
 65-69 	0.494768	0.580803	0.421447
 70-74 	0.528365	0.562549	0.501970
 75-79 	0.228998	0.374467	0.119287
 80+ 	0.000000	0.000000	0.000000
Total	1.275905	1.137101	1.415032
2005			
 0-4	2.030047	2.037349	2.022429
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.802265	0.483608	1.129165
 20-24 	2.088374	1.583506	2.586265
 25-29 	2.341263	2.016841	2.654897
 30-34 	2.130286	2.000529	2.256545
 35-39 	1.773072	1.728305	1.817240
 40-44 	1.412935	1.360724	1.464158
 45-49 	1.087611	1.001827	1.169716
 50-54 	0.814298	0.727207	0.895169
 55-59 	0.604373	0.570649	0.637017
 60-64 	0.483694	0.522858	0.447027
 65-69 	0.454862	0.533761	0.386832
 70-74 	0.484120	0.516843	0.459538
 75-79 	0.207911	0.344497	0.110197
 80+ 	0.000000	0.000000	0.000000
Total	1.186014	1.057805	1.313888
2006			
 0-4	1.926106	1.933018	1.918894
 5-9	0.000000	0.000000	0.000000
 10-14 	0.000000	0.000000	0.000000
 15-19 	0.738603	0.445839	1.039586
 20-24 	1.924406	1.459177	2.381592
 25-29 	2.157971	1.858217	2.443633
 30-34 	1.962773	1.843189	2.077535
 35-39 	1.633446	1.592463	1.673431
 40-44 	1.301404	1.253763	1.347952
 45-49 	1.001573	0.922934	1.076808
